year,ann inc
1959,0.96
1960,0.71
1961,0.78
1962,0.56
1963,0.57
1964,0.49
1965,1.1
1966,1.1
1967,0.61
1968,0.99
1969,1.32
1970,1.13
1971,0.73
1972,1.47
1973,1.46
1974,0.68
1975,1.23
1976,0.97
1977,1.92
1978,1.29
1979,2.14
1980,1.71
1981,1.16
1982,0.98
1983,1.85
1984,1.22
1985,1.65
1986,1.01
1987,2.66
1988,2.17
1989,1.48
1990,1.2
1991,0.74
1992,0.71
1993,1.24
1994,1.66
1995,1.99
1996,1.06
1997,1.98
1998,2.83
1999,1.34
2000,1.24
2001,1.84
2002,2.37
2003,2.3
2004,1.55
2005,2.46
2006,1.78
2007,2.12
2008,1.77
2009,1.58
2010,2.41
2011,1.7
2012,2.41
2013,2.43
2014,2.05
2015,2.94
2016,2.87
2017,2.13
2018,2.41
2019,2.53
2020,2.53
